income,debt_ratio,credit_score,loan_amount,employment_years,missed_payments,risk
29.7,0.0948,734,1.0,9.7,0,0
63.1,0.1524,748,11.4,7.6,1,0
39.5,0.2782,775,17.1,7.0,1,0
58.5,0.3959,678,23.9,1.1,0,0
33.6,0.4439,679,13.9,13.4,2,0
61.7,0.3435,807,11.3,6.7,1,0
42.9,0.2845,766,23.8,10.0,0,0
35.8,0.3399,697,14.3,10.7,0,0
65.7,0.17,714,22.3,3.0,1,0
58.6,0.2316,714,9.1,4.3,0,0
45.8,0.1511,722,7.2,14.2,1,0
76.8,0.1002,748,24.0,9.2,0,0
48.4,0.29,850,20.0,5.7,0,0
55.5,0.2723,731,25.4,7.5,1,0
59.0,0.3325,760,13.7,12.3,1,0
45.7,0.3155,619,11.6,11.7,0,0
62.1,0.2791,691,28.9,2.1,1,0
47.0,0.3168,794,5.8,14.5,0,0
48.8,0.2449,744,28.0,11.9,0,0
75.4,0.2995,457,28.6,7.4,0,0
39.4,0.1629,760,24.9,3.2,0,0
18.8,0.2944,835,12.5,12.2,1,0
79.2,0.3302,600,11.5,9.9,0,0
93.2,0.1696,811,16.3,2.2,0,0
48.9,0.2562,554,7.6,7.1,0,0
25.9,0.1752,776,10.3,20.5,0,0
50.3,0.1868,719,23.2,8.1,1,0
50.7,0.115,579,23.2,5.0,1,0
52.2,0.4019,747,9.6,4.0,0,0
38.3,0.3779,789,23.4,15.1,1,0
63.7,0.3145,742,21.6,11.4,1,0
62.9,0.4867,755,30.1,13.6,1,0
32.6,0.2273,695,22.6,9.0,0,0
65.5,0.6138,608,26.5,13.0,0,0
85.8,0.2227,762,21.8,4.6,1,0
57.6,0.2806,825,25.8,8.7,0,0
49.9,0.2023,788,7.7,9.1,0,0
52.9,0.2947,601,17.0,13.5,0,0
64.2,0.3503,629,17.7,9.3,0,0
29.0,0.2363,669,16.1,5.5,0,0
57.5,0.4632,624,21.6,8.3,0,0
49.1,0.2787,723,23.1,1.3,1,0
82.7,0.2825,744,21.1,0.0,0,0
52.4,0.1409,634,16.6,11.3,0,0
80.0,0.3002,767,12.1,6.5,0,0
38.4,0.2339,756,26.8,7.0,0,0
63.8,0.177,687,20.8,11.3,0,0
59.8,0.1568,710,9.9,13.6,0,0
42.0,0.5706,603,16.5,10.1,1,0
57.7,0.2184,700,4.1,15.7,0,0
73.2,0.0752,720,18.3,10.0,0,0
50.1,0.1662,730,16.4,9.2,0,0
29.6,0.2438,743,13.4,9.0,0,0
54.7,0.3156,735,30.7,2.9,0,0
41.5,0.3166,704,8.8,11.8,0,0
49.9,0.3312,737,23.7,0.0,0,0
53.8,0.1726,780,35.5,5.7,1,0
29.4,0.2909,714,26.6,8.1,0,0
30.8,0.1449,739,17.7,4.8,0,0
62.2,0.1756,709,8.9,6.2,0,0
47.2,0.1399,681,7.1,15.4,1,0
16.5,0.1074,751,14.7,12.4,0,0
66.8,0.3777,687,12.5,5.3,1,0
59.1,0.3326,743,12.2,6.1,0,0
44.3,0.3672,722,15.4,2.9,0,0
35.2,0.2547,702,17.2,10.8,1,0
67.5,0.3432,700,21.9,7.0,0,0
60.2,0.0386,690,8.1,0.1,0,0
90.7,0.3536,621,12.5,8.4,0,0
61.3,0.2713,743,16.7,9.8,0,0
60.8,0.3253,734,16.4,11.9,0,0
52.5,0.2956,771,32.7,7.7,0,0
67.3,0.1316,688,19.9,6.5,0,0
64.4,0.0702,834,5.1,15.9,0,0
73.8,0.1646,697,21.3,8.0,1,0
47.2,0.3178,667,22.4,10.9,2,0
48.5,0.3328,660,17.0,5.8,1,0
47.8,0.0858,616,8.3,10.8,1,0
66.9,0.1323,812,32.1,2.2,0,0
77.5,0.1632,802,9.4,6.2,0,0
48.1,0.2071,756,23.3,3.2,1,0
48.6,0.0866,666,19.6,5.6,1,0
59.7,0.0794,829,22.8,13.0,0,0
51.3,0.1514,699,31.7,5.6,1,0
69.3,0.2604,704,22.5,10.9,0,0
21.2,0.1083,806,13.5,14.1,0,0
42.6,0.2361,760,26.8,7.9,0,0
43.3,0.377,850,13.0,12.0,1,0
20.2,0.0938,735,19.3,10.1,2,0
40.5,0.2252,696,7.7,8.5,0,0
41.3,0.373,683,9.7,11.0,0,0
52.0,0.1998,609,18.4,15.4,0,0
71.7,0.1812,703,20.9,5.5,0,0
51.3,0.3896,789,4.4,4.2,1,0
39.5,0.2133,756,22.0,3.9,0,0
54.1,0.3825,721,11.4,12.0,2,0
70.7,0.3015,660,28.2,12.5,0,0
40.4,0.2089,734,15.2,5.9,0,0
41.3,0.3076,781,9.0,0.0,0,0
63.4,0.2885,746,18.6,5.3,0,0
51.7,0.3725,730,10.7,10.2,0,0
64.7,0.1842,672,28.2,7.7,0,0
54.8,0.2549,772,18.0,8.7,0,0
65.5,0.2426,532,16.8,5.9,0,0
39.5,0.3345,743,22.7,12.1,0,0
54.8,0.127,850,10.0,9.4,0,0
51.8,0.372,629,7.7,10.3,0,0
36.8,0.306,706,21.3,8.6,0,0
31.5,0.092,720,9.2,10.1,1,0
65.3,0.395,692,9.2,9.8,0,0
49.7,0.5181,782,24.7,4.3,0,0
39.7,0.3702,748,22.2,9.5,1,0
53.6,0.4212,729,8.0,11.2,0,0
71.9,0.2602,768,13.0,12.6,1,0
20.8,0.0506,721,10.8,9.7,0,0
32.6,0.0287,850,32.2,4.1,0,0
41.2,0.2806,729,25.2,4.8,2,0
76.9,0.179,732,14.6,6.3,1,0
59.2,0.1403,617,22.6,8.8,0,0
66.5,0.2425,687,7.2,7.5,0,0
37.9,0.3239,789,12.6,3.5,0,0
38.2,0.0757,640,18.8,3.5,0,0
61.7,0.1961,591,21.6,0.0,0,0
55.9,0.4312,722,17.2,0.0,1,0
63.2,0.121,802,20.0,7.5,0,0
52.2,0.3544,723,18.6,17.3,0,0
59.2,0.1918,700,16.7,15.2,0,0
57.4,0.3155,608,15.6,4.1,0,0
66.7,0.3817,747,14.6,8.6,0,0
67.1,0.339,760,19.9,2.1,0,0
30.7,0.3591,613,21.3,2.8,0,0
21.3,0.1118,788,19.6,3.2,0,0
70.0,0.3836,766,8.6,7.1,1,0
72.8,0.1477,788,10.0,7.3,0,0
39.7,0.2811,755,21.2,9.0,0,0
27.1,0.281,759,29.8,10.7,0,0
56.5,0.3082,751,19.2,6.7,0,0
69.0,0.2904,772,14.7,8.1,0,0
82.0,0.1487,611,19.8,3.6,0,0
62.7,0.088,630,8.9,2.6,1,0
49.4,0.3547,676,28.5,2.0,1,0
41.6,0.2723,712,19.5,10.6,0,0
55.2,0.3879,743,12.6,6.6,0,0
50.5,0.2446,739,16.7,0.5,1,0
39.8,0.0814,787,13.8,7.7,1,0
85.7,0.3659,789,28.5,3.0,3,0
81.8,0.2056,668,16.4,14.6,1,0
72.0,0.291,734,19.2,5.7,1,0
41.2,0.1723,669,22.6,10.7,0,0
67.8,0.4473,709,12.1,12.4,0,0
64.6,0.1448,739,19.5,4.2,0,0
61.6,0.2095,515,20.2,8.3,0,0
73.7,0.2629,850,5.6,10.2,0,0
64.5,0.1189,754,20.0,8.5,0,0
66.1,0.2897,684,17.6,9.4,1,0
64.6,0.4434,836,19.0,2.7,1,0
60.1,0.1911,699,18.3,10.2,0,0
28.2,0.2974,728,20.1,6.1,0,0
56.3,0.0,691,28.7,9.4,0,0
46.7,0.2453,819,8.6,11.7,0,0
35.8,0.2124,714,15.3,10.7,0,0
80.2,0.1518,729,23.3,9.4,1,0
80.9,0.3798,792,21.8,10.6,1,0
75.4,0.2109,755,21.7,10.8,1,0
58.8,0.2287,717,40.0,14.0,1,0
75.3,0.2047,787,22.9,7.9,0,0
55.2,0.02,850,27.0,8.7,0,0
58.0,0.1142,739,15.5,11.7,0,0
38.6,0.3653,727,10.1,6.0,0,0
61.0,0.0,730,15.5,2.7,0,0
55.9,0.158,799,23.7,10.0,0,0
35.5,0.202,684,21.3,7.2,1,0
54.2,0.4592,703,21.2,3.2,0,0
53.8,0.3422,628,16.3,10.0,1,0
82.0,0.1831,649,15.0,13.7,1,0
68.4,0.4065,689,16.6,1.5,0,0
55.2,0.1611,717,23.8,12.1,0,0
58.7,0.3711,826,24.7,0.0,0,0
55.7,0.0869,752,10.0,6.4,0,0
52.0,0.3788,665,24.1,15.4,1,0
38.8,0.2013,676,12.8,6.7,1,0
52.7,0.1266,802,21.8,8.4,0,0
43.8,0.2239,788,16.5,11.1,2,0
36.2,0.2833,722,30.5,1.1,0,0
62.7,0.1906,693,14.7,8.3,0,0
60.9,0.3165,787,19.4,8.3,0,0
28.2,0.18,660,22.9,15.4,1,0
53.2,0.3244,744,11.0,3.1,1,0
69.9,0.3031,850,17.4,6.5,0,0
70.9,0.2427,732,15.9,4.3,0,0
70.4,0.197,673,13.9,3.9,0,0
55.6,0.2682,745,14.5,12.5,0,0
42.3,0.316,692,26.9,8.1,2,0
38.7,0.4974,636,13.2,5.8,0,0
60.2,0.3627,762,22.5,5.9,3,0
60.7,0.3671,787,20.5,5.7,0,0
74.3,0.6206,701,6.8,6.1,1,0
71.5,0.3119,697,22.2,2.9,0,0
53.0,0.3082,662,6.7,7.0,0,0
36.3,0.3345,711,23.0,6.6,0,0
50.2,0.1289,686,13.9,5.0,0,0
58.3,0.1967,659,18.1,8.6,1,0
52.0,0.1893,834,7.6,9.0,0,0
46.3,0.3277,748,19.0,5.8,0,0
58.8,0.2291,754,25.4,7.4,1,0
47.4,0.2666,773,11.5,16.6,0,0
45.6,0.3805,766,13.1,16.5,0,0
59.7,0.3536,695,21.6,3.8,0,0
49.0,0.2306,736,21.8,4.3,1,0
58.7,0.1696,704,1.0,3.8,1,0
59.1,0.3862,746,34.1,12.2,1,0
37.9,0.3429,741,22.2,6.4,0,0
47.8,0.0572,697,23.6,9.0,0,0
76.6,0.2124,640,16.9,16.0,0,0
37.6,0.2699,729,3.2,8.0,2,0
23.3,0.3435,708,23.4,10.8,0,0
27.1,0.3592,607,13.5,10.1,1,0
55.4,0.2841,750,22.4,5.6,0,0
55.5,0.3202,778,16.2,12.2,0,0
53.2,0.2577,850,19.9,4.6,0,0
73.2,0.1691,697,11.8,13.4,1,0
15.0,0.2186,688,24.9,5.7,1,0
60.9,0.2523,653,8.5,6.1,0,0
78.4,0.2458,733,36.0,3.6,0,0
38.1,0.0237,732,35.9,4.3,1,0
49.3,0.2023,671,31.1,6.3,1,0
43.7,0.2567,710,28.2,0.0,1,0
41.6,0.2162,601,17.3,7.1,1,0
50.1,0.2204,776,27.3,6.0,1,0
76.4,0.3086,674,17.2,11.2,0,0
82.6,0.1205,718,5.6,9.7,1,0
50.0,0.0546,634,30.0,5.2,0,0
83.6,0.2082,685,27.0,6.2,1,0
55.5,0.3417,703,17.7,7.1,2,0
81.3,0.4525,719,8.2,13.9,2,0
53.6,0.3439,749,13.3,4.7,0,0
57.0,0.0738,806,3.4,5.1,0,0
60.5,0.2221,764,25.6,3.5,1,0
102.7,0.2808,778,5.2,2.1,1,0
67.8,0.2713,807,20.3,9.2,1,0
44.4,0.3147,754,11.3,8.8,2,0
69.5,0.14,718,6.6,13.1,1,0
49.6,0.2578,781,19.9,12.2,1,0
47.7,0.3004,784,15.3,17.6,0,0
68.6,0.3491,759,24.7,7.7,0,0
55.5,0.1533,633,7.9,7.0,0,0
59.2,0.2086,670,11.9,2.8,0,0
55.2,0.0,704,1.0,10.8,1,0
60.0,0.1754,767,1.0,8.5,3,0
61.4,0.1871,719,32.4,10.6,0,0
25.9,0.1276,788,34.7,3.4,1,0
65.0,0.2699,799,18.7,9.4,1,0
40.3,0.2433,792,11.4,8.8,0,0
33.4,0.0,792,15.6,8.6,2,0
54.1,0.2759,658,25.0,5.3,1,0
56.3,0.1386,749,13.9,12.8,0,0
44.6,0.3083,684,19.9,16.2,0,0
67.5,0.0962,621,17.9,3.6,0,0
34.9,0.2536,703,13.4,10.9,0,0
48.9,0.216,799,13.8,0.0,0,0
46.2,0.2864,748,20.3,10.7,0,0
54.3,0.265,841,10.2,0.5,0,0
59.2,0.2194,731,21.6,5.9,0,0
39.9,0.0656,850,14.2,2.7,0,0
65.9,0.0727,731,19.0,7.1,1,0
55.9,0.1799,721,29.1,11.4,0,0
26.6,0.249,643,16.7,0.6,0,0
25.6,0.177,787,25.4,6.6,4,0
54.8,0.325,690,3.7,5.9,1,0
51.7,0.2165,681,14.2,14.3,2,0
53.4,0.1342,797,18.2,9.7,0,0
54.6,0.2166,789,33.4,3.3,0,0
58.4,0.2771,788,2.3,6.1,0,0
69.2,0.289,698,17.2,14.2,0,0
38.3,0.4754,717,29.7,10.9,1,0
37.4,0.1697,716,11.7,4.3,0,0
38.6,0.2412,767,16.3,6.9,1,0
59.3,0.3011,813,20.7,7.1,0,0
73.7,0.2472,742,19.5,5.8,0,0
48.5,0.1899,838,30.5,1.2,0,0
17.5,0.0641,774,21.6,5.3,1,0
29.4,0.1887,706,28.6,13.6,1,0
42.5,0.1212,770,15.1,6.5,1,0
46.6,0.0428,822,12.1,7.6,0,0
48.9,0.1545,840,16.2,8.6,0,0
55.6,0.1243,791,8.7,16.9,1,0
50.3,0.3201,722,21.9,8.0,0,0
70.7,0.3221,707,14.9,12.4,1,0
44.9,0.1415,755,12.6,5.6,0,0
42.1,0.2188,820,22.0,7.0,1,0
62.2,0.027,746,8.9,8.1,2,0
32.0,0.1907,747,24.2,4.9,2,0
60.8,0.2979,723,14.2,7.2,0,0
56.5,0.349,700,27.3,11.6,0,0
52.8,0.1644,710,14.9,4.8,2,0
78.8,0.3762,728,23.1,8.0,0,0
45.7,0.0681,823,19.4,10.8,0,0
85.9,0.1003,706,24.0,4.7,0,0
51.6,0.3352,723,18.9,12.4,0,0
35.8,0.4505,668,4.7,8.3,0,0
56.0,0.3092,763,26.1,7.3,0,0
38.9,0.2452,802,17.3,0.0,0,0
43.7,0.0,817,24.3,6.5,0,0
61.0,0.0073,732,23.5,9.5,1,0
63.3,0.2655,754,11.8,15.0,0,0
45.7,0.207,711,10.7,10.3,0,0
69.8,0.1173,752,23.2,12.5,2,0
72.4,0.2579,739,15.6,3.2,1,0
76.5,0.2638,723,25.5,7.5,1,0
62.9,0.3633,728,16.6,12.9,0,0
75.5,0.2664,747,26.2,4.4,0,0
26.8,0.3974,702,21.4,11.9,0,0
50.2,0.251,705,20.3,10.9,0,0
42.0,0.2362,822,15.0,9.1,0,0
56.8,0.3777,850,19.9,6.7,0,0
46.4,0.1326,648,27.5,4.1,0,0
52.5,0.5877,644,17.6,15.1,0,0
83.2,0.295,663,22.2,10.5,0,0
52.5,0.2957,714,18.4,9.4,0,0
61.2,0.313,774,19.0,6.3,0,0
51.5,0.4753,755,31.8,8.2,1,0
56.1,0.3451,730,27.6,8.7,0,0
55.1,0.0574,752,18.6,9.6,0,0
61.7,0.4184,678,19.7,10.9,0,0
72.5,0.2091,705,12.4,4.9,0,0
79.7,0.2629,719,16.6,2.1,0,0
59.6,0.0965,625,20.5,8.3,0,0
63.8,0.3131,650,24.8,1.0,1,0
37.7,0.1718,653,24.0,6.7,0,0
53.7,0.262,766,9.1,6.0,0,0
69.1,0.2159,735,25.8,10.0,1,0
68.0,0.481,757,17.3,15.9,1,0
58.2,0.4879,610,10.1,0.2,0,0
68.3,0.2556,631,28.7,17.1,0,0
62.4,0.2577,760,29.7,7.1,3,0
73.0,0.2052,553,20.1,9.4,1,0
59.3,0.3827,793,23.7,2.3,0,0
49.7,0.2105,611,24.1,12.0,2,0
60.0,0.1994,771,29.2,8.2,0,0
15.0,0.3674,667,23.8,7.8,0,0
60.7,0.1854,783,7.4,0.3,0,0
15.0,0.2455,850,34.1,8.3,0,0
29.1,0.0602,584,26.5,11.4,1,0
61.8,0.3345,762,13.9,7.1,1,0
62.2,0.4829,612,9.8,12.7,0,0
37.6,0.3365,746,22.0,12.5,0,0
44.3,0.4254,708,15.8,5.4,0,0
75.6,0.1485,728,20.6,14.4,0,0
47.7,0.2784,665,23.9,8.2,0,0
88.6,0.1368,767,13.5,8.2,1,0
55.0,0.2227,633,9.1,8.4,0,0
61.1,0.3427,794,21.1,8.3,1,0
79.3,0.2622,695,13.7,0.0,3,0
57.0,0.0805,636,19.2,7.3,1,0
40.0,0.0922,816,7.3,2.5,0,0
53.4,0.0843,716,16.0,14.5,1,0
54.5,0.309,834,23.7,14.3,1,0
34.5,0.4977,793,22.8,11.4,0,0
51.2,0.4135,672,11.7,7.0,0,0
43.9,0.0225,715,8.7,4.0,1,0
68.9,0.4205,727,18.1,5.4,1,0
55.5,0.3624,812,22.5,15.8,1,0
50.8,0.0646,746,21.2,5.2,1,0
53.4,0.2136,731,13.9,0.0,0,0
58.3,0.3815,708,20.4,12.1,1,0
64.3,0.3161,717,30.0,14.0,0,0
40.0,0.0929,798,19.6,14.6,1,0
39.4,0.3233,720,4.9,12.2,1,0
71.6,0.0,696,19.6,12.8,1,0
48.8,0.2233,686,34.4,8.2,0,0
33.7,0.3866,687,7.7,0.0,1,0
61.7,0.2522,636,18.2,8.1,0,0
62.0,0.1901,675,16.2,10.5,0,0
32.0,0.3567,810,18.8,7.5,0,0
58.4,0.367,708,19.6,7.3,1,0
66.0,0.4072,762,27.1,4.1,1,0
60.6,0.3549,571,18.7,4.0,0,0
64.5,0.3798,754,28.2,15.4,0,0
33.9,0.3379,710,17.1,15.5,0,0
60.0,0.2819,691,15.2,8.0,0,0
50.5,0.2607,731,12.6,9.1,0,0
47.8,0.2215,690,3.5,4.1,0,0
68.1,0.1045,593,20.2,10.6,1,0
77.2,0.1354,775,34.4,15.0,0,0
81.9,0.2162,735,21.7,1.9,0,0
74.7,0.279,701,23.5,9.9,1,0
53.4,0.4229,662,14.7,10.2,0,0
60.3,0.245,632,16.0,10.1,1,0
66.5,0.3704,733,25.9,14.6,0,0
56.8,0.3795,817,34.1,16.1,0,0
57.0,0.2222,732,29.9,7.1,1,0
67.4,0.3214,637,24.4,10.7,0,0
54.1,0.2208,734,18.3,8.3,1,0
44.1,0.4087,717,19.7,5.5,2,0
48.8,0.3263,772,12.0,9.1,0,0
64.5,0.1071,756,6.4,10.7,0,0
55.0,0.2694,541,9.0,8.9,1,0
60.1,0.4478,753,18.4,4.5,0,0
65.1,0.2283,660,15.7,6.1,2,0
49.4,0.3037,635,6.2,6.2,1,0
66.3,0.3155,709,17.7,4.6,2,0
60.7,0.1256,745,15.5,9.3,0,0
36.5,0.3113,622,8.6,9.7,1,0
76.6,0.0827,762,15.0,11.9,0,0
47.5,0.1749,766,15.4,4.6,0,0
30.2,0.3791,723,13.1,5.7,0,0
39.3,0.2928,668,25.4,14.2,0,0
39.7,0.2135,661,2.8,7.3,1,0
55.8,0.3036,782,2.1,8.1,1,0
50.9,0.2428,629,18.0,7.3,0,0
49.9,0.2515,784,18.8,12.5,0,0
64.3,0.3288,710,21.2,12.7,2,0
60.1,0.1627,714,13.7,12.5,1,0
59.7,0.2548,618,10.7,8.1,0,0
61.1,0.2125,711,17.9,4.5,1,0
64.2,0.0597,757,14.5,15.7,1,0
23.4,0.1395,640,30.4,11.4,1,0
49.5,0.4382,750,15.4,6.2,0,0
22.3,0.2962,725,17.6,13.7,0,0
55.5,0.0912,681,37.8,5.9,1,0
54.9,0.0652,771,16.4,13.6,0,0
70.7,0.2365,588,22.4,13.9,0,0
72.8,0.4373,741,23.2,4.3,0,0
58.0,0.2276,817,23.9,10.3,0,0
47.5,0.4068,806,20.3,11.1,1,0
62.3,0.2922,743,19.6,18.5,0,0
47.1,0.3066,702,18.8,5.0,0,0
55.0,0.0897,682,13.4,13.7,0,0
69.8,0.3625,702,20.6,8.1,0,0
46.6,0.2098,753,34.2,3.0,0,0
67.1,0.3536,672,27.7,7.5,0,0
65.2,0.1523,765,20.4,8.0,1,0
40.7,0.2712,848,24.8,3.8,1,0
69.6,0.2922,716,11.0,9.2,2,0
65.5,0.2315,639,15.9,11.8,0,0
56.5,0.2985,639,25.6,9.0,0,0
43.6,0.218,767,29.9,5.8,1,0
42.1,0.1721,716,11.8,7.4,0,0
46.9,0.4427,773,14.1,8.0,0,0
63.1,0.3759,688,35.5,8.9,0,0
40.7,0.1587,770,18.8,12.4,1,0
61.6,0.3182,711,32.6,9.1,2,0
36.4,0.1609,676,19.7,2.4,0,0
51.9,0.1078,696,20.0,5.8,2,0
56.6,0.3741,648,15.6,8.7,1,0
91.7,0.0455,839,25.5,12.5,1,0
34.3,0.3612,714,28.9,13.2,0,0
77.1,0.2197,759,9.7,15.1,0,0
57.2,0.2246,688,15.2,8.5,0,0
61.2,0.2992,657,25.3,11.1,0,0
56.8,0.3197,706,17.0,2.2,0,0
61.7,0.1508,786,14.1,9.7,1,0
52.7,0.3361,689,26.1,3.7,0,0
76.8,0.2636,668,26.8,7.7,0,0
48.2,0.0993,729,14.4,20.1,0,0
72.0,0.2296,750,19.7,9.2,0,0
45.3,0.4158,819,8.3,4.5,0,0
54.1,0.4512,741,10.8,9.6,0,0
38.9,0.3361,759,19.0,5.9,1,0
61.8,0.1072,763,18.3,4.2,0,0
76.7,0.3089,651,10.3,16.4,1,0
53.8,0.3521,662,12.3,12.3,1,0
52.0,0.3371,655,9.5,9.4,0,0
38.3,0.3442,640,21.6,6.4,0,0
51.6,0.2936,768,2.3,6.8,0,0
31.1,0.2413,737,9.9,14.2,1,0
41.3,0.177,725,3.1,9.2,0,0
58.4,0.0222,564,21.4,0.0,0,0
74.8,0.2908,843,3.6,17.7,1,0
97.1,0.2723,666,18.3,8.7,0,0
46.2,0.3169,843,31.1,9.4,1,0
76.5,0.0895,633,31.4,12.3,0,0
58.7,0.3274,671,3.6,9.9,0,0
52.7,0.4965,588,20.4,11.0,0,0
61.5,0.2594,742,10.1,6.3,1,0
55.9,0.2426,654,8.5,3.1,1,0
56.7,0.2871,656,17.1,9.1,0,0
48.9,0.4939,638,27.8,13.7,1,0
34.0,0.1272,767,22.8,5.4,0,0
31.8,0.2744,763,12.3,5.1,0,0
64.8,0.154,829,23.6,12.9,1,0
50.8,0.1844,679,1.0,6.2,0,0
46.1,0.244,733,12.0,6.4,0,0
55.1,0.4117,643,11.4,6.5,0,0
66.9,0.4661,700,18.6,7.7,0,0
57.7,0.3038,689,16.4,1.7,0,0
45.2,0.2048,748,16.9,5.8,1,0
73.4,0.5491,781,16.6,8.9,0,0
78.7,0.1987,779,18.2,8.9,0,0
62.4,0.1815,669,22.3,12.6,0,0
69.6,0.037,780,19.2,15.4,0,0
73.6,0.4175,717,15.7,14.0,0,0
72.0,0.3662,701,21.2,11.7,0,0
64.2,0.5401,677,24.6,7.4,0,0
64.0,0.0833,686,13.6,5.5,1,0
62.8,0.425,825,17.5,8.1,0,0
38.5,0.2584,738,27.3,10.3,0,0
65.5,0.3467,730,9.2,11.3,0,0
34.7,0.0523,704,32.4,10.5,0,0
43.1,0.4262,850,7.3,7.5,0,0
74.6,0.3444,798,15.2,11.1,0,0
67.6,0.2453,677,10.4,13.0,0,0
77.3,0.3274,704,35.5,11.5,0,0
50.9,0.1581,707,14.0,7.9,3,0
37.7,0.1805,729,14.0,4.7,1,0
51.4,0.1944,678,15.0,4.6,0,0
56.5,0.0277,746,18.8,5.3,2,0
56.2,0.3534,807,15.4,9.0,1,0
72.0,0.393,641,16.9,10.1,0,0
49.6,0.1658,652,1.0,2.3,0,0
60.3,0.2918,691,18.5,6.0,0,0
40.2,0.2181,694,18.1,9.0,1,0
61.8,0.2894,840,26.3,4.4,0,0
55.0,0.1747,780,28.5,9.7,2,0
43.8,0.144,777,16.5,6.8,2,0
51.5,0.3762,704,24.5,5.1,0,0
52.2,0.2423,703,9.2,8.2,1,0
50.9,0.4927,633,24.1,9.6,0,0
81.6,0.2556,767,13.4,4.6,0,0
53.5,0.1389,749,8.5,7.0,0,0
51.3,0.3972,797,16.5,9.9,0,0
23.5,0.3257,707,29.2,5.0,1,0
41.6,0.3372,711,19.4,1.4,0,0
51.1,0.3929,730,30.0,1.9,0,0
44.7,0.1717,774,12.0,6.3,1,0
75.7,0.2347,632,26.4,2.7,0,0
52.5,0.2294,764,12.8,6.6,0,0
74.3,0.0951,719,19.8,14.7,0,0
55.9,0.2184,656,19.7,2.5,0,0
55.6,0.4104,595,23.3,6.9,0,0
53.7,0.2785,712,20.0,16.5,0,0
55.1,0.0885,807,12.1,9.6,1,0
80.8,0.0633,820,25.0,6.5,0,0
20.2,0.4498,741,31.9,7.4,1,0
25.0,0.2392,838,13.3,9.7,0,0
46.9,0.1723,717,3.3,14.8,0,0
55.2,0.2171,777,22.0,5.9,0,0
65.4,0.0727,693,15.4,5.0,0,0
62.1,0.4208,689,17.0,2.5,1,0
49.2,0.2028,679,22.4,8.4,0,0
70.3,0.4141,596,14.3,2.4,1,0
70.5,0.2562,797,15.8,6.1,2,0
57.8,0.4215,682,17.2,4.4,0,0
69.4,0.2808,672,29.8,12.3,0,0
59.1,0.3524,649,18.2,6.0,1,0
46.6,0.3363,708,8.1,9.6,0,0
65.5,0.3248,826,8.4,1.6,0,0
56.7,0.2918,846,19.1,8.5,1,0
55.0,0.2221,620,9.0,3.2,0,0
77.1,0.4799,699,5.5,6.3,1,0
18.2,0.1412,658,23.1,16.8,0,0
33.7,0.2505,779,23.5,11.7,0,0
37.2,0.2518,737,15.1,7.5,1,0
49.6,0.2983,682,20.3,20.8,0,0
51.2,0.1985,724,19.5,4.3,1,0
32.4,0.2878,691,22.8,12.7,0,0
40.2,0.2297,817,22.8,1.9,0,0
42.1,0.0602,753,1.0,7.0,0,0
91.9,0.2511,760,16.1,2.6,0,0
82.0,0.1179,560,22.1,9.0,1,0
48.8,0.0419,716,14.7,8.2,1,0
49.5,0.2664,845,18.3,6.8,1,0
37.8,0.3085,800,24.0,12.4,1,0
26.4,0.3132,609,18.6,5.7,1,0
53.2,0.3181,701,30.1,9.3,1,0
40.0,0.0181,648,27.0,11.3,0,0
53.7,0.0867,823,17.1,2.1,0,0
31.0,0.4868,735,16.4,5.0,0,0
43.6,0.1243,674,1.0,8.2,0,0
57.2,0.3233,722,15.4,10.5,0,0
60.5,0.1676,564,7.2,13.7,1,0
61.3,0.2596,655,19.8,7.1,0,0
35.2,0.174,722,19.2,6.7,1,0
67.8,0.3174,771,23.6,4.5,1,0
43.0,0.2664,604,29.2,9.3,0,0
64.5,0.1962,697,17.8,6.8,1,0
54.8,0.124,781,36.2,6.9,0,0
34.4,0.2821,633,19.9,7.6,0,0
50.3,0.1045,734,7.5,10.2,0,0
60.5,0.3013,724,13.5,5.7,0,0
64.2,0.5652,823,15.0,4.9,0,0
52.9,0.412,706,22.7,9.7,0,0
78.0,0.3362,710,10.4,0.0,0,0
70.1,0.2397,771,15.6,5.6,0,0
51.2,0.0173,640,16.7,3.4,1,0
66.3,0.0913,707,14.4,12.8,0,0
84.0,0.4039,693,24.5,6.2,0,0
84.4,0.1552,712,23.1,5.8,0,0
36.6,0.1661,771,27.3,7.8,1,0
41.1,0.2301,753,15.4,5.6,0,0
77.3,0.1226,675,27.6,6.4,0,0
39.1,0.1028,728,7.1,8.4,0,0
35.2,0.2439,809,6.9,6.3,0,0
47.7,0.143,670,8.3,6.3,1,0
61.3,0.1611,729,18.1,4.0,1,0
53.5,0.1563,708,27.6,3.4,0,0
45.2,0.3127,716,13.2,8.2,1,0
44.9,0.2221,622,14.2,9.2,1,0
44.3,0.2286,805,16.3,2.3,0,0
41.8,0.3216,674,22.6,11.0,1,0
89.2,0.233,782,14.2,11.1,1,0
59.5,0.2166,683,13.7,11.9,0,0
68.3,0.3065,682,7.2,9.2,1,0
47.7,0.3302,793,13.4,10.5,2,0
52.2,0.2324,780,27.4,16.7,0,0
44.3,0.2597,733,18.7,6.8,1,0
15.2,0.1562,766,12.1,3.8,0,0
34.3,0.1467,703,27.9,1.9,1,0
27.8,0.3423,719,13.3,15.0,1,0
