egt_c,cit_c,tbmt_c,brg_c,ics_c,lube_c,amb_c,op_state
481.59,21.46,781.59,80.24,,56.92,23.49,0
565.16,28.83,909.57,104.17,329.75,73.8,27.47,1
604.88,22.02,1051.25,93.48,348.2,80.0,22.62,2
543.64,24.11,900.0,95.61,326.05,71.33,23.04,1
183.34,15.33,1339.191587334234,45.33,95.07,62.55,15.73,3
572.92,19.33,941.48,100.65,336.19,71.44,18.42,1
572.53,16.6,923.47,92.01,331.04,64.97,20.5,1
517.01,27.31,,,317.85,63.32,26.7,0
700.39,31.14,1117.31,180.83,497.06,117.53,22.46,3
510.24,23.89,,73.36,298.25,42.48,22.38,0
550.85,23.03,,71.15,,61.51,21.75,0
664.68,15.41,1120.0,103.3,397.86,94.95,23.22,2
653.48,18.39,1107.93,126.6,424.38,100.54,18.6,2
528.0,15.45,862.76,87.76,318.72,55.47,13.38,0
514.03,20.43,840.54,90.53,292.64,62.99,22.19,0
605.3,24.67,1022.57,102.7,,80.0,21.87,2
529.66,9.68,853.31,72.28,292.9,56.11,8.3,0
518.03,16.76,835.69,74.79,281.17,52.27,11.45,0
970.7745840482416,7.75,1005.16,120.06,391.34,92.53,6.3,2
471.17,29.38,,74.3,,55.01,33.01,0
552.61,29.11,922.99,103.99,313.73,80.0,26.89,1
601.67,21.9,1020.0,101.32,325.85,63.09,27.1,1
630.87,20.87,1030.42,110.19,370.77,96.1,25.26,2
597.0,27.31,996.85,121.28,381.13,94.46,30.72,2
646.96,23.91,1200.17,169.71,533.43,118.77,19.42,3
510.94,15.22,799.51,70.06,302.15,57.57,15.31,0
619.62,24.17,1053.52,99.5,398.57,89.69,23.96,2
91.85,-14.94,126.28,-15.36,31.04,66.52,13.1,3
607.19,36.54,982.38,87.74,,71.27,35.77,1
540.38,19.65,884.44,69.77,344.48,48.24,19.97,0
500.61,27.32,810.89,82.56,295.0,62.47,24.91,0
579.95,23.63,900.0,75.0,338.86,60.0,18.8,0
514.21,16.08,,65.0,322.56,46.18,18.54,0
487.81,35.72,798.23,70.66,284.52,53.91,38.87,0
616.05,32.36,1064.24,103.73,402.45,95.11,32.09,2
528.83,14.66,827.75,78.01,295.51,48.83,10.05,0
504.86,21.0,848.03,81.38,307.41,57.6,19.65,0
522.02,29.64,824.66,77.82,306.74,44.6,32.2,0
545.22,32.13,926.49,78.65,,60.0,32.35,1
513.42,26.37,,67.8,,43.57,31.53,0
549.97,26.49,870.04,81.64,339.07,73.63,31.56,0
611.0,23.57,,99.72,358.89,72.47,26.0,1
542.52,14.18,898.39,69.6,330.58,55.75,14.97,0
941.7586655993999,13.77,1080.11,119.86,380.89,92.05,19.78,2
651.47,19.38,1066.88,145.52,372.88,80.0,20.49,2
566.07,20.77,964.38,83.61,,61.91,20.56,1
585.85,34.04,1006.46,100.73,350.77,80.0,34.66,2
625.31,20.98,1077.93,124.71,373.52,99.36,26.61,2
644.62,16.45,,120.23,387.39,86.63,16.07,2
514.07,30.88,818.1,69.85,305.99,54.23,29.43,0
649.59,38.29,1073.0,124.94,384.87,108.52,38.61,2
691.66,31.22,1217.8,116.89,515.24,130.45,23.7,3
585.06,20.82,953.06,83.54,346.08,68.16,15.19,1
606.32,19.27,999.98,,364.24,92.33,22.03,2
541.82,0.16,880.0,64.08,322.02,53.35,1.44,0
503.51,13.97,826.21,66.87,290.66,49.6,14.47,0
625.83,37.11,1101.09,101.55,398.02,83.06,32.64,2
664.43,24.65,1111.1,114.1,419.35,97.51,22.79,2
539.17,20.66,869.0,70.89,325.62,57.11,22.37,0
562.63,4.41,939.4,79.32,369.17,60.0,-1.56,1
620.0,29.85,1004.06,79.61,378.65,70.53,30.77,0
503.72,22.94,861.28,64.59,303.0,48.3,21.94,0
542.17,17.63,860.03,88.31,330.29,71.55,16.39,0
641.22,28.74,1115.99,128.78,374.26,82.01,28.49,2
646.6,33.54,1081.85,116.53,,85.26,34.7,2
596.67,18.09,980.0,135.2,,116.68,20.25,2
528.03,12.73,857.42,74.54,292.9,49.15,7.71,0
575.15,26.6,923.14,91.59,374.21,70.36,26.77,1
494.65,25.17,787.2,66.31,305.75,43.49,27.73,0
596.98,25.2,1028.62,110.12,347.8,93.1,27.38,2
587.41,34.83,980.0,105.58,374.93,88.22,38.69,2
514.41,20.33,850.51,90.1,291.8,68.43,18.7,0
611.5,24.37,,,355.99,81.89,22.18,2
617.03,32.71,1034.59,127.08,382.9,87.42,32.35,2
515.43,27.06,817.03,96.27,285.46,70.33,27.32,0
611.57,15.21,983.16,98.81,401.95,81.53,15.68,2
571.4,22.84,,93.13,350.9,68.3,21.71,1
560.07,21.04,938.92,94.17,,61.2,23.2,1
542.51,20.1,900.0,88.51,342.54,71.43,18.33,1
492.57,18.0,777.79,76.25,284.75,62.8,18.38,0
562.39,23.25,933.94,86.82,318.51,70.3,25.82,1
503.18,18.52,814.31,76.56,309.81,65.64,15.06,0
564.08,21.8,,94.71,379.44,60.0,21.82,1
593.46,31.33,999.76,75.0,343.35,60.0,30.38,1
608.29,28.91,1060.65,117.84,380.28,91.46,25.16,2
514.6,35.88,829.72,64.72,296.46,47.15,31.16,0
500.93,28.37,,88.42,288.93,69.09,26.91,0
586.19,20.07,970.38,90.97,361.92,60.0,,1
560.24,33.35,921.01,87.77,332.73,65.49,35.94,1
525.53,26.45,807.6,61.55,326.02,42.97,26.6,0
554.03,23.07,908.76,100.54,356.89,65.1,24.59,1
521.85,27.97,823.21,59.31,298.0,39.77,29.8,0
554.0,26.89,900.0,95.87,359.83,76.17,28.73,1
691.42,13.42,1172.97,135.68,451.23,141.65,10.0,3
566.47,31.16,948.27,88.94,,64.14,30.84,1
512.02,17.59,846.15,63.33,312.5,50.76,13.64,0
550.68,35.92,900.0,98.06,338.82,74.47,36.05,1
590.13,22.16,1004.46,86.29,342.03,64.51,25.83,1
617.23,24.65,1020.0,101.23,372.35,77.99,25.97,1
534.77,23.17,853.64,76.89,310.26,44.25,23.46,0
149.27,-17.6,244.3,2.11,30.24,29.9,34.49,3
553.35,20.17,882.0,80.71,315.54,57.12,16.59,0
648.37,14.81,1120.0,128.96,361.2,112.74,10.67,2
563.07,21.46,,93.84,329.8,82.86,22.62,1
624.51,37.65,1045.7,114.88,379.4,105.74,40.32,2
533.89,16.42,847.28,65.48,303.45,57.01,18.71,0
551.15,16.19,899.53,76.56,335.06,55.52,10.47,1
640.02,27.43,1102.28,167.37,492.88,129.77,20.58,2
481.27,14.05,790.3,72.11,280.38,50.68,21.24,0
538.36,40.82,900.0,75.0,324.59,60.0,39.55,1
697.04,27.06,,145.37,456.38,129.93,17.68,3
503.91,32.33,,81.68,,65.43,34.23,0
594.48,20.61,1020.0,89.23,377.61,60.0,24.42,1
521.43,6.92,845.86,87.44,285.3,72.1,12.78,0
544.12,32.22,,92.46,310.92,67.2,33.27,0
554.72,24.66,878.0,86.2,337.09,54.8,20.17,0
518.03,24.5,814.06,65.12,287.74,49.75,26.35,0
621.79,18.25,1033.7,134.9,524.78,173.44,29.05,3
494.47,26.57,,90.78,286.35,63.98,26.01,0
519.75,20.06,858.48,72.94,278.62,57.38,25.94,0
491.38,26.03,754.11,80.83,289.03,50.46,24.37,0
528.6,26.35,915.17,66.98,315.28,57.72,27.01,0
526.81,25.92,850.8,81.93,304.94,58.91,25.78,0
578.5,28.7,931.09,103.71,378.86,82.56,34.35,1
509.36,23.48,823.09,67.83,308.06,53.73,26.3,0
584.52,10.85,,81.7,357.24,60.0,7.67,1
630.92,22.51,,121.41,369.63,90.46,19.32,2
509.69,16.57,,74.82,,60.29,15.15,0
603.76,15.43,1056.65,105.18,374.4,90.57,15.32,2
575.47,26.62,967.13,98.08,349.33,66.27,26.65,1
528.97,26.29,869.61,65.62,312.51,47.03,27.63,0
641.46,21.83,129.92413935568504,144.85,402.04,119.26,25.4,2
563.39,16.1,904.76,106.6,322.2,82.3,15.62,1
524.84,33.04,850.12,77.59,300.49,54.02,35.09,0
634.75,17.96,1090.49,106.02,378.93,85.51,20.04,2
722.47,33.36,,140.25,,124.68,19.49,3
739.96,21.92,1193.76,147.85,494.85,96.31,22.39,3
508.47,25.52,844.91,71.49,,45.81,25.95,0
532.98,18.18,829.66,81.07,316.56,62.6,16.41,0
630.39,25.96,1097.13,117.19,385.78,80.0,23.46,2
526.77,24.03,863.65,83.14,298.08,50.14,23.85,0
502.04,15.58,799.99,66.08,270.0,49.19,14.94,0
630.7,38.77,1075.36,149.33,399.58,119.54,38.68,2
528.79,10.28,847.38,83.11,308.98,69.06,13.58,0
533.46,15.51,863.32,73.94,330.93,48.57,18.44,0
568.18,24.31,,92.3,355.22,61.72,24.59,1
548.47,11.38,926.84,79.72,316.8,56.92,6.71,0
531.25,30.44,830.34,88.96,294.04,70.7,25.22,0
509.3,25.42,854.12,74.72,,44.96,26.08,0
615.44,29.42,1048.33,,,96.4,31.66,2
570.25,12.28,964.61,92.62,331.79,72.63,11.03,1
529.68,20.89,842.49,87.08,304.16,72.12,21.63,0
529.0,18.75,831.04,81.19,314.58,61.5,21.74,0
528.9,22.31,894.0,79.66,302.14,69.86,23.06,0
653.24,16.92,1066.57,123.13,607.8832322986123,97.75,11.93,2
527.29,28.82,869.96,83.03,321.16,56.82,33.68,0
603.92,13.37,,95.34,363.55,77.2,11.02,1
518.89,41.07,819.46,87.34,307.09,67.77,42.0,0
589.97,29.92,,115.17,366.16,100.37,29.26,2
591.69,31.55,996.34,91.7,363.76,72.89,33.02,1
516.55,25.1,818.18,63.85,288.01,48.76,,0
545.91,21.28,879.13,84.21,324.66,64.54,20.92,0
526.82,18.05,828.42,80.38,330.34,52.45,16.52,0
577.32,25.33,,87.07,348.38,73.89,26.42,1
506.26,15.28,839.15,73.35,292.54,53.63,17.58,0
527.31,31.58,858.85,75.91,305.2,53.04,24.37,0
499.77,30.71,825.19,82.96,280.78,58.71,32.56,0
576.0,5.51,968.96,92.62,343.98,80.76,10.87,1
614.02,26.01,980.76,121.27,373.87,98.53,21.45,2
546.12,17.44,876.75,69.97,328.26,57.84,17.97,0
510.52,12.43,815.29,91.56,309.52,69.66,10.68,0
546.91,19.23,906.97,77.88,312.52,60.49,20.92,1
528.15,15.54,839.3,82.3,300.56,56.3,11.22,0
595.2,26.65,980.0,125.61,358.91,107.64,25.23,2
522.67,22.73,853.6,64.15,302.71,58.12,22.8,0
555.18,26.17,924.06,101.4,310.0,72.73,26.0,1
532.47,26.95,866.32,74.28,30.073231859045478,51.69,31.87,0
499.35,16.08,830.89,72.68,15.263692753876073,56.27,7.77,0
642.3,31.68,1094.56,106.28,392.57,99.45,31.88,2
548.74,21.13,,97.86,310.0,64.07,14.38,1
537.39,19.0,891.08,81.36,290.1,49.52,14.88,0
540.94,35.82,900.0,96.82,334.04,71.21,34.03,1
553.25,20.1,918.72,97.19,333.73,70.02,20.68,1
548.0,11.85,886.01,88.56,314.03,63.46,12.15,0
569.56,14.38,936.96,81.6,358.04,60.19,17.68,1
502.24,21.51,813.24,94.88,294.3,72.35,18.28,0
516.98,24.49,857.04,76.35,277.85,56.33,28.54,0
541.01,33.86,872.96,76.07,306.65,60.31,31.75,0
565.28,6.39,977.24,86.16,316.1,61.4,5.88,1
505.16,27.44,819.76,76.12,287.01,66.24,32.46,0
542.54,12.91,900.0,75.01,348.05,65.14,14.58,1
669.54,32.73,1120.0,106.73,,80.0,30.09,2
567.86,28.22,935.71,91.35,355.43,77.27,25.35,1
494.46,22.22,819.78,78.47,294.92,64.59,15.6,0
535.82,13.91,890.29,78.32,298.28,58.04,15.88,0
478.52,21.3,,92.01,,72.53,16.55,0
569.7,37.59,932.51,107.59,358.48,82.58,41.36,1
523.75,6.42,846.7,65.84,,39.31,6.41,0
538.19,10.0,863.67,83.0,317.54,62.25,7.3,0
675.71,14.82,1131.34,,504.99,152.82,23.65,3
551.34,26.11,900.0,,331.53,64.93,24.41,1
525.47,21.58,825.16,62.2,284.65,42.48,25.57,0
534.06,30.59,873.29,67.12,313.2,40.82,33.86,0
544.76,16.16,,91.54,310.0,88.24,13.17,1
568.54,23.05,908.33,81.95,335.49,60.86,25.22,1
631.52,25.58,1018.35,96.81,401.02,91.76,23.79,2
528.93,22.06,864.98,75.08,,57.62,25.72,0
598.94,25.56,980.0,98.6,371.35,80.0,25.3,2
507.62,15.7,805.01,74.37,293.27,43.49,18.0,0
596.01,25.55,972.91,92.39,353.25,66.99,21.34,1
579.73,17.87,942.47,85.41,330.54,67.66,21.45,0
507.93,20.97,844.41,72.11,282.64,54.98,21.12,0
564.75,15.17,1006.24,90.39,,60.0,19.91,1
507.99,15.04,823.99,72.03,316.59,46.03,18.55,0
511.02,22.83,821.8,83.82,322.86,53.94,21.19,0
608.7,22.38,980.0,124.63,396.42,99.89,25.6,2
603.23,30.77,976.1,,346.08,85.41,30.11,1
583.83,20.87,1011.37,79.25,334.66,60.0,17.93,1
538.44,18.57,,79.71,32.991621278191545,59.9,18.59,0
527.39,25.2,861.86,66.99,320.52,48.32,20.95,0
523.1,23.74,865.13,84.98,308.23,58.18,26.77,0
536.49,31.07,833.75,73.8,299.51,55.64,30.8,0
541.67,32.49,903.45,78.45,277.54,45.83,29.49,0
533.92,27.0,873.14,68.9,323.44,49.27,24.69,0
611.15,23.27,1000.51,113.29,345.0,95.08,30.37,2
506.11,19.3,826.13,72.09,277.33,55.1,16.1,0
584.12,28.31,1018.06,129.28,374.84,94.1,30.03,2
528.4,20.98,868.07,81.27,306.53,54.87,19.83,0
598.19,34.36,1039.51,115.05,364.0,80.0,36.81,2
649.8,32.98,1120.0,107.42,399.99,84.23,32.62,2
522.95,18.2,871.43,73.38,314.35,56.36,18.26,0
679.11,16.06,1120.0,112.73,411.94,105.79,19.92,2
512.4,25.98,860.17,72.05,293.57,48.4,26.02,0
525.16,10.31,860.83,75.93,305.83,59.32,7.61,0
528.85,22.35,833.74,,300.89,54.11,21.24,0
643.77,27.33,1090.94,134.13,398.91,97.46,31.29,2
516.24,29.61,831.22,93.48,303.62,66.71,31.8,0
559.29,22.14,900.0,102.04,317.72,74.3,21.5,1
516.55,13.43,824.79,78.21,295.99,52.82,15.72,0
533.63,26.45,859.59,68.61,300.34,55.7,19.87,0
607.29,22.28,1030.9,,354.25,80.0,22.28,2
513.97,21.48,,69.91,294.49,57.32,14.23,0
517.96,24.73,831.72,84.41,299.0,75.65,26.17,0
511.3,12.15,786.34,82.98,300.89,66.46,13.62,1
554.69,8.24,,95.72,367.57,74.67,3.64,1
487.3,16.15,830.08,90.89,289.14,56.13,16.95,0
502.62,16.39,848.52,74.09,288.6,53.69,16.66,0
526.11,26.46,,61.13,,45.35,23.16,0
622.39,12.88,1082.84,,385.3,83.16,18.01,2
624.73,13.24,985.54,103.8,350.48,80.0,15.82,2
526.06,22.27,871.09,73.4,305.11,50.56,20.55,0
702.51,28.17,1090.68,177.44,422.73,129.5,26.89,3
544.3,21.21,865.51,76.26,291.99,50.36,21.51,0
513.92,18.58,819.87,87.74,308.57,66.31,16.64,0
635.25,37.71,1080.47,97.79,414.76,92.97,36.42,2
526.85,12.79,900.64,72.77,324.38,47.67,9.87,0
562.99,33.62,955.47,84.86,365.12,68.05,31.45,1
498.5,21.79,832.19,86.97,284.79,54.35,26.21,0
527.76,13.41,868.61,77.94,,56.43,11.35,0
512.07,18.96,830.43,84.25,279.53,52.42,18.4,0
619.6,23.62,,114.9,356.27,89.17,20.28,2
495.04,4.22,,71.49,290.97,48.28,3.62,0
534.21,29.72,890.65,81.77,319.12,70.54,31.22,0
564.7,28.63,943.98,88.99,327.24,62.97,28.69,1
575.94,21.7,998.51,75.0,367.28,60.0,21.32,1
525.97,27.96,841.51,59.2,309.48,42.28,23.92,0
521.48,15.87,876.31,91.72,,64.11,19.13,0
550.92,23.46,924.21,77.92,326.46,52.33,23.5,0
522.43,15.87,852.76,77.21,309.06,59.29,14.44,0
631.39,17.95,1076.4,213.49629833792866,382.2,112.94,16.28,2
613.15,19.86,1012.99,115.11,,105.13,20.4,2
628.38,30.2,,128.42,,109.83,28.07,2
539.12,29.22,,72.11,324.72,58.11,28.71,0
597.84,17.31,1002.89,84.96,341.12,60.0,17.76,1
564.18,45.0,,85.79,358.2,67.2,40.82,1
524.51,27.46,859.52,79.06,308.32,50.43,30.82,0
562.92,22.69,951.74,94.55,313.13,60.78,30.37,1
506.07,23.97,842.28,71.81,282.96,51.17,23.54,0
92.81,2.71,-1.89,,-15.03,37.9,3.79,3
519.19,22.32,801.33,76.13,313.0,60.62,18.4,0
49.11,30.91,33.54,25.94,15.73,-8.94,5.38,3
598.49,27.95,1021.02,90.0,354.85,80.0,30.4,2
593.55,31.38,980.0,109.04,345.0,80.0,35.05,2
626.73,40.64,1116.01,105.21,345.0,80.0,35.12,2
650.86,12.97,1101.37,124.76,411.49,87.89,14.97,2
481.01,8.06,777.41,83.16,279.25,54.54,6.72,0
568.89,32.05,,91.54,319.84,76.29,29.65,1
547.93,33.58,880.05,93.63,318.63,70.33,36.68,0
640.68,8.18,1056.07,94.27,392.9,80.0,5.86,2
616.91,,1034.84,110.53,353.97,87.15,28.52,2
553.68,36.44,907.45,95.75,347.43,75.29,37.94,1
582.3,32.37,,95.64,356.41,75.48,32.2,1
524.28,23.89,849.04,75.55,303.49,56.43,20.7,0
484.97,28.78,799.15,80.15,,60.77,31.84,0
580.0,17.36,993.14,119.22,357.23,86.32,12.9,2
543.43,23.18,854.41,72.04,316.34,,21.17,0
575.71,15.54,900.58,102.49,,63.86,23.04,1
498.21,28.13,,67.06,270.0,45.78,27.38,0
513.09,13.48,798.47,80.12,295.61,56.34,16.57,0
575.12,32.19,,95.25,319.32,60.0,27.89,1
528.23,,870.92,73.45,283.51,60.87,23.22,0
583.67,19.24,984.97,88.14,310.97,66.43,15.75,1
686.66,19.75,1120.0,110.66,,91.99,21.46,2
555.5,13.14,900.0,93.75,325.12,60.0,16.77,1
535.24,26.95,901.95,65.57,301.61,56.88,29.96,0
115.37,9.02,67.74,25.99,-43.03,1.28,11.3,3
580.29,31.03,948.87,96.77,327.4,71.6,30.46,1
524.14,23.21,828.96,80.72,302.44,47.94,24.68,0
536.77,30.25,820.06,79.15,306.15,51.8,33.98,0
510.85,22.05,835.7,72.92,272.4,54.37,24.3,0
524.58,19.89,865.49,68.34,303.09,50.97,24.52,0
517.4,28.74,820.62,75.69,311.75,62.18,35.59,0
587.89,26.49,,104.78,364.01,95.65,22.24,1
496.66,19.49,771.76,80.18,287.43,55.35,24.7,0
495.53,15.36,822.63,63.36,286.66,45.99,14.78,0
497.25,16.01,795.79,73.67,301.18,61.31,18.12,0
484.06,32.06,792.99,86.84,,57.94,32.04,0
546.74,16.73,879.72,81.68,332.92,51.9,19.15,0
581.5,13.95,983.66,78.99,326.7,60.0,15.7,1
528.68,27.93,,78.73,309.53,43.33,21.95,0
520.14,23.22,838.96,59.22,306.1,46.83,26.19,0
535.93,19.84,877.16,73.88,296.06,58.9,22.75,1
511.51,21.58,820.14,63.34,302.71,43.01,21.26,0
499.81,16.49,816.39,54.21,270.0,39.78,15.45,0
156.38,53.65,,23.97,67.98,41.64,23.84,3
514.74,16.55,846.7,66.05,302.02,43.84,16.23,0
603.69,29.61,,101.16,388.06,80.0,27.13,2
504.17,27.79,806.21,61.71,304.65,40.9,33.23,0
531.79,22.58,869.12,64.27,328.14,42.32,24.53,0
547.98,20.38,911.52,84.76,307.74,60.25,15.18,0
595.32,27.35,1019.69,91.54,376.44,60.95,25.58,1
495.73,30.18,787.14,69.55,299.73,59.96,33.75,0
529.2,24.55,850.36,96.95,298.32,70.85,30.41,0
533.18,22.67,867.68,72.11,305.0,48.27,22.95,0
534.26,18.82,860.75,71.62,290.69,52.04,21.31,0
680.58,41.86,,115.65,409.24,80.0,41.5,2
542.45,22.13,886.44,87.64,,60.67,16.39,0
613.81,1.86,1025.92,125.34,348.88,96.33,3.79,2
538.16,21.05,,74.64,314.29,51.11,22.07,0
518.56,16.4,,82.67,,60.88,16.53,0
575.83,35.15,935.66,96.34,321.87,74.25,37.51,1
561.63,28.86,900.0,92.56,310.07,88.75,30.87,1
509.13,17.39,832.84,72.92,297.84,63.31,22.65,0
554.87,13.08,901.81,81.89,314.54,60.68,9.58,0
628.05,45.0,1110.25,117.83,377.65,90.73,45.9,2
503.6,17.15,836.42,76.17,302.82,44.28,20.17,0
497.04,6.22,771.9,84.67,276.18,61.47,8.27,0
517.93,26.2,812.85,79.34,,58.35,26.34,0
493.76,35.36,813.72,75.74,293.8,51.97,33.32,1
525.75,16.46,848.07,85.31,285.38,70.75,11.65,0
563.2,39.29,935.54,103.46,331.18,83.1,35.17,1
534.82,30.84,900.0,117.06,313.88,83.73,28.84,1
104.46,34.52,66.52,5.28,85.48,1.95,19.5,2
552.03,22.44,900.0,92.51,335.64,60.0,24.12,1
574.15,25.78,934.43,93.05,,71.83,25.57,1
521.92,16.9,827.72,77.18,302.62,61.18,16.79,0
506.13,36.95,831.02,78.43,300.16,54.36,37.09,0
626.41,33.55,980.19,133.85,345.84,94.21,29.45,2
621.22,33.41,989.12,104.53,412.04,80.0,27.69,2
505.65,31.24,797.0,75.45,,50.21,27.87,0
664.09,28.78,1120.0,121.04,408.47,80.0,32.98,2
514.51,36.72,814.06,65.77,310.06,42.33,41.83,0
587.52,16.37,989.04,91.65,384.92,66.73,17.15,1
581.87,26.74,967.48,96.89,347.23,63.09,25.05,1
690.0,24.55,1120.0,131.94,460.0,104.72,25.84,2
506.34,30.13,803.22,75.04,306.57,54.69,32.83,0
565.47,12.57,921.37,88.13,337.53,71.69,16.3,1
614.9,18.05,1082.95,133.68,,97.91,19.54,2
73.77,24.45,55.75,33.0,38.74,14.14,17.68,3
534.05,12.89,878.15,78.42,324.46,65.27,6.72,0
,23.76,823.62,83.71,,69.05,25.86,0
528.32,25.77,836.99,74.91,327.4,54.8,28.2,0
543.06,19.74,904.83,71.13,323.46,54.83,16.57,0
619.7,34.62,1053.15,109.81,413.68,80.39,30.18,2
654.65,25.34,,106.93,391.68,85.87,24.64,2
640.21,20.67,1068.25,122.61,385.9,80.0,22.14,2
613.64,33.72,992.16,,,92.48,35.27,2
482.53,29.41,,82.33,,62.41,29.48,0
526.85,20.95,863.18,78.61,311.58,60.6,20.39,1
532.09,17.71,878.8,72.41,303.03,64.61,14.68,0
540.33,24.23,848.46,69.13,313.0,49.67,24.34,0
562.46,24.87,940.12,91.04,326.55,71.56,22.35,1
548.94,25.35,,76.5,328.92,53.68,24.33,0
579.21,15.39,942.13,83.84,348.02,60.0,13.61,1
515.58,21.32,,80.82,296.34,53.57,21.61,0
535.3,10.9,892.99,73.79,301.12,42.42,8.58,0
552.29,16.76,964.08,103.17,329.45,77.33,20.07,1
488.27,20.35,795.47,75.5,270.0,40.87,17.07,0
515.12,19.55,844.88,88.28,297.57,60.9,14.92,0
529.03,22.67,872.68,69.93,314.34,46.56,16.71,0
579.52,19.64,975.84,97.46,326.17,86.13,15.02,1
641.41,28.07,1056.72,131.29,402.96,84.7,25.9,2
518.14,27.47,863.93,64.0,296.19,41.03,27.73,0
608.56,18.44,1085.96,103.87,,92.24,18.24,2
560.38,24.32,966.92,108.99,,76.51,17.14,1
516.55,15.19,828.4,93.43,279.67,64.41,13.19,0
562.89,33.14,954.68,89.08,568.9295242116586,60.0,33.64,1
536.27,20.61,924.46,104.22,310.0,77.12,19.54,1
547.47,21.87,902.51,77.36,316.92,58.21,18.85,0
619.64,21.17,1072.66,105.49,392.49,80.0,23.93,2
639.68,29.81,,114.09,,80.0,34.39,2
499.68,23.61,807.47,82.74,280.36,65.41,24.64,0
522.99,18.55,841.88,81.7,320.54,47.06,20.83,0
530.0,15.2,851.63,73.55,293.31,43.49,11.69,0
659.21,11.8,1119.27,117.62,381.46,93.29,11.95,2
599.34,26.86,,116.2,363.13,98.23,27.18,2
517.31,14.68,845.32,82.03,290.73,59.25,10.61,0
622.2,15.74,1025.17,136.14,373.03,80.0,17.05,2
513.13,22.25,,74.41,288.93,55.03,24.06,0
600.46,14.65,979.02,92.45,332.5,71.83,14.34,1
517.81,21.37,838.27,85.93,308.42,64.25,26.39,0
509.2,14.71,835.65,82.84,292.93,56.02,15.2,0
523.05,16.84,864.06,74.8,297.24,52.98,19.62,0
615.91,25.13,1059.78,114.38,353.62,93.58,28.79,2
556.5,22.38,970.26,82.6,312.35,60.0,23.1,1
603.9,28.73,998.81,93.93,372.84,80.0,22.55,2
541.48,11.73,857.65,69.5,306.01,47.79,16.12,0
129.42272191806393,28.24,939.32,112.32,361.33,81.78,23.44,1
526.48,27.33,849.14,81.34,326.42,61.0,22.96,0
577.42,28.19,984.78,83.43,350.55,68.38,30.73,1
547.63,14.95,900.0,91.29,344.47,60.0,9.7,1
542.6,17.43,868.2,83.0,298.33,56.37,14.12,0
535.1,14.67,839.55,84.09,304.59,56.91,12.15,0
541.51,21.37,840.44,67.25,,52.35,16.77,0
601.8,26.18,1002.37,109.23,370.6,97.32,27.61,2
526.98,21.63,828.81,83.43,310.66,61.44,27.16,0
520.39,19.52,894.9,82.35,325.73,66.48,18.25,0
513.46,4.38,835.71,87.89,298.58,56.29,11.76,0
587.28,29.53,,100.0,326.48,67.95,30.96,1
504.52,25.34,852.93,72.35,281.09,60.96,20.75,1
496.59,15.35,,68.24,288.61,49.24,14.66,0
546.01,4.51,908.01,59.06,315.68,41.43,5.04,0
555.73,28.09,902.63,97.21,325.49,72.42,24.85,1
632.63,15.69,,,392.32,97.95,10.47,2
144.04,-8.21,59.67,28.18,-50.0,7.85,32.64,3
513.69,10.95,849.21,88.86,295.23,69.0,8.96,0
696.66,38.54,1190.84,114.14,485.58,121.03,21.83,3
605.55,31.8,994.23,75.48,366.19,60.0,30.03,1
580.24,26.36,973.64,85.23,343.63,77.57,24.31,1
42.12,5.44,113.45,7.24,35.4,-14.17,27.07,3
557.6,19.37,944.11,79.96,350.24,72.58,19.6,1
547.87,26.57,955.93,83.39,338.41,66.53,27.03,1
526.55,27.68,819.13,63.28,306.18,43.26,30.63,0
531.9,19.1,865.21,82.21,314.08,57.26,20.96,0
476.27,18.25,745.32,63.09,270.0,37.04,17.31,0
597.85,16.4,975.27,98.98,381.15,84.19,16.24,1
505.31,9.61,,79.17,289.47,55.73,11.21,0
552.1,20.77,900.0,89.04,352.09,60.0,18.46,1
557.67,19.07,908.28,96.51,354.65,81.39,16.75,1
521.61,21.39,850.77,72.31,307.95,54.37,22.81,0
530.97,22.88,857.28,75.38,314.46,51.61,28.43,0
590.08,14.17,1005.81,87.45,349.09,77.47,11.84,1
540.0,21.05,882.63,67.95,328.67,38.58,23.0,0
506.79,20.9,784.2,66.8,16.02903606146235,52.24,24.45,0
651.81,38.12,1075.97,109.19,366.17,81.51,37.8,2
531.29,23.06,,76.57,313.82,57.6,19.95,0
588.97,27.56,980.0,126.44,362.76,85.25,27.71,2
509.97,17.01,,75.34,305.82,56.38,14.57,0
,26.93,1084.79,104.68,419.03,98.32,25.4,2
580.0,26.2,980.0,117.09,345.0,100.16,27.58,2
536.26,26.48,881.58,65.49,325.51,41.75,26.2,0
510.9,17.34,,82.74,,51.59,13.81,0
628.79,32.65,1040.52,113.77,389.97,80.24,37.5,2
529.11,23.0,853.2,82.62,287.9,64.38,22.89,0
521.94,20.74,841.34,75.09,318.18,51.42,19.65,0
521.57,16.96,833.23,76.76,311.81,56.26,16.22,0
953.6988980980043,34.92,1120.0,118.61,422.21,98.18,36.5,2
54.58,5.97,50.41,28.84,13.61,12.65,3.17,3
586.95,15.35,913.97,88.25,328.46,72.51,15.97,1
568.46,23.43,936.72,83.52,370.44,60.0,22.57,1
558.88,21.0,947.15,,310.0,67.92,22.38,1
491.94,13.55,796.97,76.41,281.73,60.24,9.13,0
41.0,-7.02,,38.37,-14.95,26.5,21.39,3
