period_min,amplitude_mag,bp_rp,phi21,r21,fe_h_proxy,skewness,luminosity_lsun,n_modes,star_type
32.8651,0.0597,1.3489,6.8938,0.01,0.8,0.8186,3799.558,0.7595,0
707.8056,0.7491,0.8554,3.3164,0.4518,-2.0037,0.5019,0.5,0.2105,1
1090.985,0.2515,0.3337,3.0723,0.1375,-1.9183,0.5851,330.4869,-0.2,1
96724.4089,1.0138,1.0754,0.7241,0.357,-0.8039,-0.4789,184.1026,-0.2,4
92.8432,0.0723,1.2384,2.7194,0.3287,0.8,0.6017,0.5,1.5857,0
57386.9296,0.7879,1.9773,6.609,0.7915,0.1461,0.5246,500000.0,0.0069,2
62358.5727,1.4192,2.4658,2.7519,0.01,0.5061,0.488,500000.0,-0.0187,3
33.1034,0.4615,1.2685,3.1008,0.0605,0.4949,-0.3263,14.0158,1.3173,0
108.8746,0.2291,0.6124,1.0295,0.1852,0.0147,-0.2067,12.3981,0.9248,0
600000.0,0.8979,2.5388,5.3543,0.0161,0.7625,1.3859,201344.8623,-0.2681,3
2265.3348,0.5953,1.3977,2.7583,0.2935,-0.492,1.0347,3.1571,-0.1307,1
88.0239,0.2828,0.4494,7.6233,0.1199,0.3523,-0.065,5342.2241,1.5834,0
241579.2933,3.76,3.8336,0.0,0.5654,-0.6347,0.8661,6301.1682,-0.1423,3
1041.2659,0.814,1.275,3.9332,0.03,-2.0954,0.726,1206.9494,0.5142,1
76692.3718,2.8,1.8557,4.4202,0.6087,-1.2213,-0.1296,500000.0,-0.2,2
797.7201,0.7435,1.7207,3.6863,0.5567,-0.789,0.9148,6.0358,-0.2,1
600000.0,3.1697,2.5632,4.1031,0.6547,0.3491,0.2712,21279.2261,0.0775,3
600000.0,3.6646,1.8333,3.7421,0.1573,0.251,1.2193,0.5,0.4206,3
52.132,0.1524,1.166,5.4325,0.1557,-1.5422,0.1897,0.5035,1.2087,6
600000.0,4.9364,2.9707,1.5387,0.6366,-0.5145,1.0909,1.9584,-0.0681,3
339.0049,0.0802,0.654,7.8434,0.2128,-3.2,1.0628,0.5,0.7475,6
224.5361,0.55,-0.0443,6.5303,0.6159,-0.9238,1.5,1583.0021,0.7617,5
2582.6837,0.4715,0.7572,3.952,0.7068,-1.3227,0.3551,2.5787,-0.1281,4
8776.1289,0.5874,1.5163,5.2811,0.7294,0.85,0.4416,7500.5877,-0.2,2
789.5062,0.4711,1.0054,1.2864,0.5249,-3.2,0.2014,2.3627,0.5914,1
3428.9027,0.4123,0.694,5.7513,0.6268,-1.2849,0.8018,37.2951,-0.2,2
645.1799,0.1626,1.0931,7.7338,0.0608,0.1899,-0.1374,14210.2069,0.9761,0
48.9746,0.0906,1.3109,1.6505,0.2297,-0.3183,0.07,2.4309,2.2,0
15392.5904,1.7929,2.1847,5.4967,0.3769,-0.662,0.705,151.5577,0.3032,4
574.5333,0.4522,0.8535,0.2071,0.6534,-1.645,0.0887,3.5031,-0.2,1
447.2996,0.6066,0.8232,4.0978,0.1853,-1.4199,-0.8628,7.2522,0.7759,6
64519.7417,1.5644,2.8442,3.2524,0.4666,0.139,1.7247,1795.857,-0.1848,3
1013.7958,0.4729,0.8209,3.2396,0.4195,-0.485,0.0594,16.2692,0.6854,1
600000.0,9.6096,3.3157,5.8526,0.3742,-0.0296,-0.1623,500000.0,0.5461,3
574.1247,0.4274,0.6783,0.8119,0.6257,-2.6718,-0.0014,59.8711,-0.0813,1
23.7086,0.0344,1.3307,3.2651,0.4093,0.8,-0.5109,30.9156,0.8082,0
28.2714,0.1002,1.2725,6.8749,0.3419,0.2059,-0.1253,86.3971,1.6758,0
486.2172,0.4264,1.1127,4.1141,0.7468,-0.2416,-0.6954,0.5,1.5042,0
5442.3303,0.5764,1.3451,4.1152,0.8255,0.2667,0.4905,205.5099,1.0,4
81.7543,0.4517,1.1553,2.8662,0.5017,-0.66,-0.2119,3149.4162,0.0461,5
47484.0678,0.6881,1.2767,4.3738,0.2689,-0.0364,0.6112,10566.2874,1.0,2
28.5671,0.274,0.6136,4.0906,0.1942,-0.4724,0.3844,21.0901,1.5267,0
298937.2697,2.4939,4.039,7.1165,0.01,0.0644,-0.1561,0.5,0.4706,3
21.3994,0.2756,1.45,5.6761,0.8038,-0.9218,0.437,0.5,1.2186,0
818.6597,0.1192,0.9891,5.7058,0.0402,-0.2071,0.086,0.5,1.439,0
1585.4943,0.6389,1.4247,3.4629,0.3402,-2.1227,0.6757,3726.5789,0.5448,1
1193.7732,0.1204,1.1717,7.939,0.2447,-0.8942,-0.6856,500000.0,1.0414,5
96626.8764,2.945,0.943,8.0879,0.4355,-2.673,0.2954,357.8838,-0.2,4
356348.0059,1.9819,4.1685,5.0882,0.4031,-0.971,-0.4442,1606.5134,-0.3,3
102728.6326,2.4288,2.6346,1.7044,0.2394,-0.2489,0.9711,6.293,-0.0692,3
55.8356,0.1873,0.6222,1.4982,0.4304,0.3488,-0.5992,37.7015,0.5377,6
820.0578,0.2351,1.1455,0.4384,0.4558,-2.6206,1.3109,88559.3004,0.5282,1
1465.7463,0.694,0.9064,1.3494,0.537,-2.3868,1.1303,0.5844,0.4635,1
869.7094,0.12,0.9466,0.5621,0.3215,-1.8102,0.0496,500000.0,0.1757,1
607.6985,0.084,0.5397,7.1289,0.3509,0.8,0.0269,14449.8973,1.4498,0
86422.8089,0.5772,2.0994,4.0514,0.7052,-0.53,0.8792,459.6945,0.3681,4
49.4216,0.2028,1.1673,3.4312,0.1561,0.2436,0.613,18.312,0.5261,6
8748.2051,0.9845,2.1019,1.7185,0.6621,-1.0299,0.9322,15.6177,-0.2,4
112.8288,0.088,0.9702,0.0,0.3363,0.6841,-0.3645,4912.1065,1.2184,0
10471.4855,0.7517,1.5681,2.0324,0.629,-0.1227,0.1067,20980.9754,-0.1221,2
59535.2598,0.8873,0.7679,3.4001,0.5408,-1.4334,0.5097,0.5,-0.2,4
247257.2708,1.4927,4.1057,3.8957,0.3574,0.4327,1.2343,21.0298,-0.1709,3
432061.3631,4.9449,2.6908,3.4405,0.0506,-0.0857,-0.4409,9763.4702,0.4895,3
77.0978,0.1025,0.6575,3.1462,0.4055,-1.3503,0.1049,3.177,0.846,0
1300.5401,0.6062,1.3876,0.0,0.7086,-1.9651,1.1806,0.6361,0.202,1
18980.543,0.5246,0.3644,4.3996,0.6143,0.792,0.4635,500000.0,-0.1541,2
20.4693,0.1357,0.6403,5.5625,0.3735,0.0993,0.3114,18.7202,1.7355,0
967.9956,0.2077,1.4922,1.6158,0.3175,-0.5907,0.4967,0.5,0.1241,1
502868.8325,1.255,4.8595,4.3787,0.2674,-0.108,-0.4157,1582.0356,0.3823,3
307.6758,0.1005,0.8929,5.3865,0.01,-0.7425,-0.7321,68.127,1.3974,0
11338.5,0.8609,2.1089,4.4883,0.2581,0.6715,0.7535,107595.1269,-0.2,2
1206.6668,0.497,0.5344,1.2476,0.4931,-1.6487,1.2573,44349.094,0.6452,1
3967.7048,0.9028,2.0342,5.0644,0.6513,-0.4053,0.6605,338.0887,0.6024,4
48.9506,0.1127,1.0811,2.3632,0.2184,0.2126,0.3214,4307.4475,0.8684,0
26.0917,0.4499,0.9514,6.1955,0.3794,-0.5746,0.261,4.7027,1.6204,0
186538.3401,6.8414,1.5042,4.1171,0.4714,-0.8471,0.518,0.5,0.3566,3
286.5352,0.1563,0.2034,2.6194,0.0817,-0.2109,0.8762,390.7912,1.1298,5
37.9558,0.03,1.0786,1.513,0.01,-0.8476,-0.2252,0.5,0.1,0
708.2871,0.9327,0.5483,1.4444,0.6658,-1.8236,0.1399,228074.6387,0.0624,1
17594.9136,1.5875,1.4683,0.2433,0.3869,-0.7351,-0.0133,367.6344,-0.0391,4
943.5213,0.2842,0.8999,2.0302,0.2328,-2.1352,1.8,219.228,-0.2,1
807.9842,0.1511,1.0419,6.5309,0.4089,0.6856,-0.4422,32.3626,1.1917,6
81083.2655,4.5542,5.0188,2.9887,0.5509,0.0038,0.3838,0.5,-0.2233,3
417.7402,0.0401,0.5705,0.0,0.1955,-1.4576,-0.0014,330.1399,0.8361,0
782.1818,0.7516,1.1654,1.7817,0.2361,-2.5317,1.1373,0.5,-0.1265,1
65.9262,0.0741,1.1249,2.959,0.1236,-0.1819,-0.3795,12439.7427,0.6674,5
24578.9594,0.6426,1.2312,4.8684,0.262,-0.4104,0.3627,4529.7619,0.2323,4
29188.1186,0.4284,1.5536,6.186,0.5158,-1.2574,0.5315,382.53,0.3111,4
660.2242,0.027,0.8259,5.8008,0.7076,0.3107,0.3337,0.5,1.559,0
572069.0321,2.5589,4.4227,0.0409,0.0605,0.0996,0.8653,101095.2812,0.8057,3
12669.6787,1.0033,1.6129,3.7654,0.6352,-0.6223,-0.2541,4.1433,0.5566,4
142334.9132,4.4725,3.5679,6.2254,0.4426,-0.2046,1.0135,812.5325,0.1651,3
859.0984,0.5936,0.5187,6.1596,0.2606,-0.1959,0.7511,0.5,0.8114,0
64486.4701,1.0046,3.2229,4.4363,0.1104,-1.0724,0.1432,233.7563,-0.3,3
50276.0066,1.362,1.5712,3.625,0.5649,0.2293,0.7105,19398.425,0.4019,2
56.1893,0.0811,-0.15,4.5548,0.2371,-0.0402,-0.2154,36.2705,-0.1,5
528088.5329,1.7812,3.0733,6.2679,0.2948,0.2563,-0.0544,15294.3023,0.6932,3
1013.057,0.12,0.4015,2.7358,0.5384,-3.0281,1.3022,14.2193,-0.2,1
926.5075,1.09,1.5277,2.5449,0.4507,-1.9594,0.1788,47.3931,0.5212,1
118.105,0.2412,0.7113,2.6796,0.01,0.0995,-0.6446,0.5391,1.161,0
81.3398,0.1065,0.5606,3.7139,0.2001,-0.7192,-0.2599,1674.8173,0.8166,0
600000.0,3.9642,2.3865,5.6855,0.2103,-0.1205,-0.5773,1463.777,0.5587,3
28981.3415,0.8213,1.1131,4.7204,0.3516,0.85,-0.0707,136.554,0.6273,2
9334.0965,0.6534,1.7305,1.7335,0.7447,-1.6369,0.7477,436.7919,0.3912,4
69063.3053,1.2672,3.4121,4.9029,0.3974,0.7104,1.5913,6.1615,-0.3,3
960.7332,0.72,2.1093,1.5904,0.3773,-0.1174,0.2518,75.3891,0.4837,1
15894.7129,0.6452,0.9102,5.1546,0.4525,-0.2875,-0.1804,77.0103,0.0235,2
98976.2615,2.1687,3.3867,3.0381,0.3061,0.5007,0.662,430326.258,0.3652,3
1312.6749,0.8419,0.9758,4.4112,0.4409,-0.7156,1.2382,0.5,-0.1685,1
1083.5548,1.0283,1.0058,1.7388,0.4718,-1.4398,0.9214,0.5,0.6619,1
5981.616,1.4251,1.9064,4.0128,0.4835,-0.5439,-0.0841,500000.0,-0.1508,2
684.4944,0.856,0.5796,4.0018,0.5186,-1.1677,0.9406,94917.7205,0.066,1
164718.0209,2.431,2.4821,0.0,0.5556,-0.0016,0.6391,352240.1208,0.2084,3
7500.0318,0.9063,1.6346,2.8326,0.1084,-0.9126,0.1334,72369.8454,0.2403,2
362475.4545,1.0391,1.9719,1.696,0.2055,-1.0403,0.3712,500000.0,0.2595,3
4183.6403,2.7202,0.9522,6.4076,0.294,-0.6288,0.3415,0.5,-0.0728,2
33509.5773,0.1332,1.9824,6.3964,0.5292,0.0803,0.3028,2473.104,0.193,2
26.973,0.2282,0.9802,6.9531,0.2072,0.0188,-0.0924,0.7029,1.4362,0
35.7026,0.0429,0.564,1.9858,0.3332,-0.078,-0.67,6448.2526,0.1033,6
123.8455,0.0589,1.2218,1.3977,0.3895,-0.2367,0.438,379055.4765,1.262,0
516108.6993,1.4986,2.4698,0.5226,0.2893,-0.7381,0.2799,126254.5529,-0.3,3
41101.4942,0.7665,1.2511,7.3027,0.6378,0.025,1.2107,500000.0,0.4969,2
499.3085,0.113,2.2623,5.5638,0.1815,0.2556,1.018,65527.6547,0.9713,0
21264.6795,0.6638,2.5183,4.7391,0.3178,0.3641,0.3892,27553.8154,0.1477,2
926.8367,0.8216,0.8197,1.9714,0.2739,-1.9692,0.8258,10.0625,0.5988,4
313.0546,0.0312,0.8151,5.1602,0.01,0.5912,0.0061,0.5,1.5128,0
1419.5929,0.4226,1.6016,2.11,0.2159,0.1453,-0.1724,16.715,-0.1,1
176.5983,0.203,0.8202,5.9922,0.6495,0.1412,0.1299,309.3018,0.8051,0
315685.7322,1.9564,5.4203,5.0653,0.617,0.0452,-0.8,21.3848,-0.0452,3
10245.2518,0.088,1.7149,4.8829,0.1511,0.2781,0.5015,15616.4726,0.3389,4
7357.9123,0.3566,0.9636,6.2771,0.3477,-0.0658,0.5754,35882.8031,-0.1096,2
586.999,0.4951,0.5245,1.2379,0.5733,-1.8508,0.906,800.8156,0.0169,1
997.8238,0.3705,0.935,0.3349,0.2759,-0.2253,-0.0113,13.1389,1.9988,0
18664.0918,0.5504,1.2107,3.2021,0.5186,0.5962,1.3,312329.424,-0.2,2
74140.8842,0.371,1.1145,7.2202,0.4943,0.4307,-0.0741,983.3041,0.3371,2
240.2051,0.0699,1.6139,3.8294,0.152,-0.0281,0.065,0.8664,0.6776,0
384467.8534,0.7259,3.8026,5.0567,0.9022,-0.1387,0.3153,153248.0726,0.85,3
832.6334,0.8446,0.697,0.0,0.476,-1.5687,-0.0164,220.4788,-0.2,1
210893.619,2.1933,2.6805,4.8125,0.2208,0.85,1.0519,27633.372,-0.2269,3
20.1924,0.0946,0.329,5.8076,0.5901,0.8,-1.0433,0.5,0.9246,0
33898.645,0.8083,0.8289,3.2364,0.9313,0.135,-0.1277,500000.0,0.1727,2
559924.4009,2.0724,3.4062,4.6097,0.3939,-1.1254,0.9174,500000.0,0.7195,3
888.3158,0.4361,1.2967,3.523,0.6342,-2.135,0.7049,10368.1197,0.2198,1
1495.5382,0.8152,1.5717,3.2159,0.7314,-0.7303,1.1549,18.8105,-0.2,1
88.3301,0.1573,1.2057,3.0118,0.4609,-0.8255,-0.1225,624.6492,0.4381,0
958.8049,0.8482,1.2826,0.1352,0.4203,-2.8982,0.8654,1.1024,0.9,1
11298.3485,0.4339,1.9989,7.2466,0.5259,-0.4845,1.02,804.4233,-0.1814,2
283536.253,0.7858,2.4834,1.2073,0.3929,0.85,0.5489,18730.0129,-0.1614,3
643.5461,0.0671,0.6444,5.2236,0.4191,-1.6833,0.4952,3034.0195,0.9127,0
21.8289,0.0492,0.9986,6.5979,0.01,0.4409,0.5444,79.3365,0.5722,0
57995.6856,1.0683,2.9499,5.694,0.4167,0.85,-0.4695,36421.1754,-0.0623,3
16373.8185,1.051,1.7567,4.9554,0.2012,-0.6041,1.0473,21.3961,-0.2,2
99963.9732,1.6965,1.3912,3.6972,0.2529,0.3475,1.3,0.5,0.6779,2
7993.5499,1.0674,2.1793,3.6893,0.2185,0.5334,0.4415,7596.9653,0.4936,2
1857.4098,1.1931,0.9076,2.9261,0.3954,-1.9749,1.1754,0.7529,0.3944,1
23.5059,0.0791,0.8065,4.259,0.5793,-0.3889,1.1965,60.4941,1.0378,0
2012.826,0.521,1.4466,4.8191,0.837,-1.0976,-0.0131,215.2177,0.6019,4
14426.7363,1.076,1.4782,3.7634,0.759,0.85,-0.5,0.5,0.6809,2
23.0244,0.036,1.031,5.9783,0.4425,0.1753,0.7337,78.8824,0.6354,0
177.7916,0.0568,0.347,1.4267,0.4631,-0.1991,-0.1702,177720.4206,0.3937,5
1052.6919,0.488,1.8165,0.0601,0.4824,-2.2879,0.7641,0.5,0.9,1
14896.87,1.3804,1.5848,3.1135,0.6934,-0.2559,0.2204,142.0346,0.5054,2
18.3859,0.1313,0.8723,4.5717,0.6518,-0.6416,-0.5063,0.5,0.9795,0
1253.1631,0.1075,1.0257,1.4361,0.01,-1.5543,-0.6369,6.6333,0.8155,0
64411.9694,1.4869,1.2441,2.7605,0.1972,-0.7958,0.8275,10956.9517,0.8846,4
73911.8044,0.794,0.6013,1.0554,0.6013,-1.4249,0.0171,500000.0,0.4297,4
39.5639,0.4029,1.2228,5.483,0.01,0.6289,0.3152,8.1714,0.7827,0
13088.5876,0.6853,1.9842,4.1118,0.4491,-0.8132,0.5077,812.9747,0.4597,4
2291.6203,0.3833,0.7695,3.2954,0.3949,-0.6238,-0.083,25106.1011,0.3217,1
260545.4249,2.5271,4.7046,0.8414,0.01,0.3171,0.945,38.5722,-0.3,3
52.1626,0.2574,0.3256,5.8213,0.338,-0.3459,-0.4084,0.5,1.376,0
8545.7465,0.4173,1.7959,4.541,0.7858,0.85,1.0176,1358.1788,-0.1179,2
34.5812,0.874,0.489,5.5648,0.6017,0.3945,0.8841,0.5,1.8639,0
12817.8431,0.5507,1.6418,4.9351,0.6407,-1.8882,0.4265,185625.8619,0.5777,4
754.2984,0.877,0.8545,0.6857,0.8338,-1.7502,0.9006,226.7582,0.2898,1
44.0971,0.1164,1.3112,6.8668,0.2848,0.6029,0.3615,13.7775,1.0322,5
1061.5902,0.74,1.4293,0.0,0.3528,-0.9318,1.3614,92.7546,0.9,1
32902.5529,0.5867,1.2488,4.1315,0.4656,-1.2385,0.8121,163.761,0.95,4
15262.5486,0.4266,1.6913,4.2196,0.5911,0.85,0.3573,62597.3482,-0.0343,2
918.2446,0.3234,0.827,3.0701,0.296,-1.238,1.6853,1.4019,-0.2,1
600000.0,1.1625,2.2493,4.6618,0.4422,0.1357,1.6776,500000.0,0.066,3
4802.288,0.5296,0.4728,8.243,0.4596,-0.4465,0.1002,59170.0965,0.622,2
101196.4704,2.5429,1.8923,5.5353,0.01,-1.6159,0.3782,9.192,0.1396,2
8880.5606,2.701,1.4882,6.4079,0.7271,0.4652,0.3567,107.1619,0.1765,2
160.8737,0.0673,1.1853,1.8292,0.3629,0.5676,0.3317,12.5853,0.9248,0
2001.726,0.12,2.5935,2.5576,0.3185,-0.5145,1.0451,15.0292,0.0832,1
729.6616,0.4401,0.6167,4.1254,0.1457,0.1426,-0.1688,157.7866,1.3926,0
167.3588,0.0353,1.1828,6.7488,0.093,-0.078,-0.1896,1.4988,1.3613,0
140225.8591,3.9221,2.8814,4.9415,0.5304,-0.4535,-0.202,8.4169,-0.1576,3
987.5956,1.1037,0.7229,3.2942,0.551,-0.1229,0.6361,27.4939,0.5943,1
176116.3915,1.7371,4.3636,3.9036,0.1415,0.4525,0.5981,1.2933,0.3299,3
189.8763,0.0676,0.8828,3.1219,0.1529,-0.6924,0.8824,0.5,2.0322,0
630.8676,0.3305,0.5812,5.7154,0.3637,-0.3669,-0.1542,2366.6439,1.1649,0
139.2948,0.1316,0.9355,2.527,0.3581,-0.1208,-0.1007,0.5,1.6605,0
1503.7635,1.1114,0.9719,0.5633,0.6202,-1.6102,0.8061,0.5,0.2296,1
512.0346,0.0906,0.6419,0.9416,0.2699,-0.4125,-0.8241,48346.1394,1.1865,0
1079.1522,0.5036,0.0853,3.4183,0.2412,-1.6336,0.3383,19274.9099,0.5682,1
16.801,0.2385,1.1894,5.5663,0.1372,0.5182,0.182,4.0364,0.8759,0
107.5151,0.0495,1.3466,6.1991,0.0829,-0.2374,-0.2843,120.0823,1.288,0
475459.2298,3.5001,2.0424,6.6813,0.3434,0.2438,0.6983,123563.1919,0.0087,3
107.8131,0.0695,1.1155,3.7682,0.3019,0.4581,-0.0256,603.3025,1.5305,0
26.415,0.0489,0.5996,1.3401,0.4421,0.0871,-0.798,5823.4905,0.9845,5
1017.8731,0.7373,1.4267,3.2798,0.3233,0.35,0.2659,1.524,0.3438,1
932.9415,0.4453,1.461,2.1064,0.48,-1.1219,1.5225,140823.8735,0.3892,4
123411.2335,2.8234,4.0688,1.6812,0.3102,-1.0302,0.1459,4355.6421,-0.3,3
976.2246,0.074,1.3985,7.1623,0.2525,-1.6567,-0.3069,0.5,1.9841,0
125.3536,0.081,1.067,3.2218,0.5215,-0.7679,-0.1981,63.2934,0.4827,0
103.288,0.3035,0.4034,5.7535,0.0758,-0.8512,-0.7397,0.5,1.1219,0
130144.1246,1.7788,1.9275,0.4443,0.5113,0.1092,0.5434,51619.7915,-0.2298,3
9648.1054,1.2393,1.7477,5.0586,0.6757,-0.8148,0.0404,0.5,0.639,4
22.3251,0.1154,0.4936,1.7431,0.1416,-0.443,0.8071,62.9844,0.9284,0
172.1488,0.3469,0.391,5.2531,0.4527,0.049,1.1669,97.2295,-0.1,5
1584.1841,0.1126,0.331,3.5415,0.4922,-0.2836,-0.4399,622.5166,1.186,5
47.3334,0.0464,0.2375,2.5923,0.325,0.2668,0.9435,2679.6433,0.4401,5
12318.0949,2.5203,0.5922,3.4612,0.2775,-1.9281,-0.0544,0.5,0.7074,4
260.5905,0.0269,1.5081,2.2717,0.01,-0.3071,-0.0685,0.8462,0.4691,0
6740.7727,0.7291,1.7082,4.9933,0.595,-0.1861,0.7354,25155.5358,-0.0765,4
711.9461,0.7932,1.275,1.501,0.5165,-2.7082,0.9978,662.7112,0.094,1
161984.4402,1.7226,1.9742,5.1142,0.2566,-0.532,0.4324,31240.4746,-0.2597,3
414.0182,0.0414,1.4352,5.73,0.371,-0.0131,0.0413,0.5,1.1463,0
1434.4859,0.5335,1.5889,1.9665,0.7219,-0.07,0.4063,90.9822,-0.2,1
569.1081,0.12,1.5421,2.8095,0.5815,-0.8518,1.3376,488.7206,0.5274,1
71.337,0.1333,1.6104,1.8156,0.01,-0.0598,0.6769,9505.2131,0.7397,0
566.3306,0.0431,0.1531,0.0,0.4874,0.1469,-0.5162,0.5,0.3222,5
26352.2641,0.9649,1.5763,2.5441,0.2201,-0.6584,-0.1948,500000.0,0.1498,2
66059.3425,0.8941,2.1176,5.6567,0.3805,0.1834,0.4467,14.3022,0.1052,3
1601.0155,0.2935,2.3373,2.7446,0.2731,-1.3511,-0.0979,450.1047,-0.0496,1
369.1934,0.0462,1.0017,7.7393,0.3151,-0.7865,0.3228,2537.0935,1.3169,0
56077.6934,1.7112,0.7708,2.915,0.95,-1.0879,-0.5,223.9301,0.1545,1
40.4559,0.064,0.3424,2.4456,0.1522,-0.4733,0.1258,431.2499,1.8233,0
293.1634,0.0296,1.3661,1.9234,0.1869,-1.4628,-0.4423,256.923,1.2426,6
600000.0,1.6418,3.2648,1.2987,0.1574,0.307,1.2356,33944.9912,-0.3,3
25015.9961,0.524,2.2717,4.9983,0.7759,-1.0888,0.179,66.938,0.6357,4
52.6733,0.0404,1.1526,3.9199,0.1042,-0.4542,0.213,1043.2008,1.3625,6
66152.742,0.4873,1.9192,6.8764,0.5831,-0.1234,0.271,3.8911,0.2692,2
20302.2663,1.1,0.3833,4.8792,0.7139,-0.1482,-0.061,16.1452,0.9066,2
2003.2801,0.5786,1.708,5.5,0.4768,-1.2763,0.1222,1.2347,0.4452,1
365.1869,0.2716,1.4665,5.3203,0.3183,0.6781,-0.7786,462322.5934,1.5786,0
414.8515,0.08,0.6152,7.4524,0.6397,0.1701,-0.5883,1.771,0.0803,5
1385.2147,0.6922,0.9394,0.7447,0.88,-0.5014,1.3738,2.3597,0.5204,1
9128.0863,0.5737,0.5836,5.5409,0.443,-0.512,0.5796,151.0294,0.2585,2
95551.0216,2.8,0.638,4.2542,0.4858,-0.197,0.5268,106364.1241,0.068,2
95.1417,0.049,0.7547,1.091,0.4832,-0.5826,0.038,0.5,1.1961,0
940.0781,0.7668,1.5591,5.6448,0.229,-1.3251,0.3934,0.5,2.0941,6
812.2476,0.2514,1.1834,3.5151,0.292,-1.9878,0.4411,0.5,0.4335,1
2998.6544,0.6408,1.255,5.2932,0.5083,-0.5249,-0.3312,7.0047,0.4926,2
56787.0724,3.6789,2.2906,4.396,0.1268,-0.0943,0.2594,3001.4344,-0.3,3
23376.3014,0.2192,1.187,6.4197,0.2898,-1.9769,-0.0537,274.7107,0.5599,4
593.892,0.3408,1.614,1.9569,0.7273,-0.8053,1.6098,0.5,0.7209,1
148.0023,0.1182,0.8093,5.9217,0.1935,0.2422,0.2147,0.5,0.9662,0
440.2982,0.1475,0.381,4.055,0.1294,-0.6649,0.1241,0.5,2.0187,0
181663.7432,1.3092,2.9321,1.9974,0.8053,-0.5285,-0.4777,3.4105,-0.3,3
2291.1432,0.8381,2.0573,4.9306,0.6157,-0.2049,1.0519,0.5,0.1783,2
9877.799,0.7241,1.871,7.5229,0.5323,-1.1764,0.3195,257.3211,0.5408,1
62.0517,0.1068,0.4468,7.6263,0.0349,0.1064,-0.5111,28529.5341,0.4973,5
40.1696,0.0988,0.2622,0.0,0.047,-1.8375,0.495,4320.825,1.9782,6
194.4259,0.1718,1.5381,3.1622,0.2152,-0.4009,0.1508,70.3731,1.8227,0
131.4837,0.2364,1.0487,2.7031,0.6374,-0.2539,0.3625,87.3833,0.9131,0
2826.9278,0.9588,1.025,5.2952,0.6651,0.096,-0.5,260.0732,0.558,2
376.0377,0.1384,1.115,3.9449,0.5253,-0.3,0.0088,0.5,2.1579,0
3701.8856,1.3962,1.2115,4.6372,0.5666,0.4163,-0.5,21.2747,0.431,2
154.3407,0.129,1.1776,5.3543,0.8167,-0.7046,-0.2171,13.521,0.6199,0
96133.1648,0.9353,0.5074,2.6619,0.5837,-1.0164,0.2844,458.9016,0.0787,4
1643.5446,0.2508,1.3468,2.794,0.2828,-1.4862,0.6624,5.6666,0.3275,1
1754.6556,0.9365,1.3738,5.5,0.1171,-1.415,1.141,864.4614,0.0168,1
903.1178,0.2151,0.5901,6.343,0.3029,0.2006,-0.0444,1.702,2.2,0
17713.9815,1.7907,1.9075,4.2848,0.5002,0.85,0.1807,0.5,-0.2,2
58567.0106,0.9196,0.5143,4.6848,0.3466,0.85,0.1738,192.6639,-0.2,2
426.0275,0.9844,1.6232,2.2929,0.4463,-1.1541,0.4128,430.5248,0.5695,1
16344.3292,1.192,1.7739,4.2545,0.4232,-1.357,-0.3826,27.8522,0.2392,4
1049.8438,0.2978,0.8086,6.1452,0.2678,0.0706,0.0375,29.3925,0.703,0
51064.899,0.5543,1.6647,7.4891,0.4659,-1.4567,0.3316,0.5,0.4443,4
363075.7213,1.6938,2.7552,6.0043,0.4558,0.85,0.3858,500000.0,-0.3,3
341.0139,0.4731,0.6587,1.06,0.0337,0.8,-1.0517,335.2727,1.3975,0
344923.1827,2.2275,1.6189,4.0481,0.5797,-0.9963,0.6537,12.3591,0.3158,3
3214.9022,0.6471,2.2135,5.8658,0.6007,-1.9089,0.398,0.5,-0.1044,4
1510.1902,1.02,1.1874,2.6109,0.4538,-2.4197,0.5665,159.8307,0.484,1
1099.7846,0.4394,1.004,1.4703,0.2605,-0.047,0.1942,60.546,0.0804,1
131.6369,0.1074,0.7586,1.9188,0.3568,-0.2457,-0.0378,0.5,1.5772,0
63227.9854,0.242,2.0154,5.5038,0.2427,-1.1598,0.181,691.6158,0.8663,2
18944.9184,0.6325,1.1566,7.4114,0.4233,-0.1265,0.906,51.2581,0.7167,2
8275.7519,0.5655,1.6993,4.8031,0.2176,0.85,0.2292,205.2965,0.2672,2
287.2328,0.0275,0.6328,2.3045,0.2457,-0.7031,0.1016,315196.4826,1.2394,0
73.5203,0.3504,1.2183,2.8815,0.2015,0.6401,-0.8076,10.0089,0.3876,0
3631.5431,0.2909,1.5376,5.5468,0.3778,-0.5072,0.1924,8087.411,-0.2,4
873.7598,0.105,0.6311,6.948,0.4855,-0.4391,0.3024,2.7936,1.4003,0
56479.3024,0.7793,1.9049,5.1757,0.3924,0.7312,0.1436,0.5,0.4081,2
23135.222,1.6404,0.9274,2.134,0.5681,-2.2954,0.5848,49.2507,0.0358,4
552.5372,0.1329,1.4206,7.6184,0.2369,0.4007,0.3755,166.32,0.697,0
600000.0,4.9727,3.8281,2.9471,0.3591,0.7635,0.4694,2.4817,0.5354,3
164.6153,0.2695,0.5519,8.0,0.3743,0.8,0.0669,459.5422,1.4675,0
62.0096,0.1553,0.618,7.9575,0.442,-0.6922,-0.5575,6.5839,1.4526,6
1466.6878,0.6491,1.2149,4.1866,0.3741,-1.6684,1.5411,6561.5922,0.6135,1
